#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image_0001.jpg,176034,"{}",6,0,"{""name"":""point"",""cx"":616,""cy"":74}","{}"
image_0001.jpg,176034,"{}",6,1,"{""name"":""point"",""cx"":612,""cy"":502}","{}"
image_0001.jpg,176034,"{}",6,2,"{""name"":""point"",""cx"":552,""cy"":282}","{}"
image_0001.jpg,176034,"{}",6,3,"{""name"":""point"",""cx"":676,""cy"":278}","{}"
image_0001.jpg,176034,"{}",6,4,"{""name"":""point"",""cx"":566,""cy"":414}","{}"
image_0001.jpg,176034,"{}",6,5,"{""name"":""point"",""cx"":669,""cy"":418}","{}"
image_0002.jpg,222947,"{}",6,0,"{""name"":""point"",""cx"":350,""cy"":92}","{}"
image_0002.jpg,222947,"{}",6,1,"{""name"":""point"",""cx"":339,""cy"":504}","{}"
image_0002.jpg,222947,"{}",6,2,"{""name"":""point"",""cx"":288,""cy"":296}","{}"
image_0002.jpg,222947,"{}",6,3,"{""name"":""point"",""cx"":404,""cy"":294}","{}"
image_0002.jpg,222947,"{}",6,4,"{""name"":""point"",""cx"":295,""cy"":421}","{}"
image_0002.jpg,222947,"{}",6,5,"{""name"":""point"",""cx"":393,""cy"":425}","{}"
image_0003.jpg,193498,"{}",6,0,"{""name"":""point"",""cx"":530,""cy"":78}","{}"
image_0003.jpg,193498,"{}",6,1,"{""name"":""point"",""cx"":535,""cy"":488}","{}"
image_0003.jpg,193498,"{}",6,2,"{""name"":""point"",""cx"":475,""cy"":264}","{}"
image_0003.jpg,193498,"{}",6,3,"{""name"":""point"",""cx"":596,""cy"":257}","{}"
image_0003.jpg,193498,"{}",6,4,"{""name"":""point"",""cx"":481,""cy"":393}","{}"
image_0003.jpg,193498,"{}",6,5,"{""name"":""point"",""cx"":590,""cy"":396}","{}"
image_0004.jpg,207406,"{}",6,0,"{""name"":""point"",""cx"":343,""cy"":149}","{}"
image_0004.jpg,207406,"{}",6,1,"{""name"":""point"",""cx"":336,""cy"":522}","{}"
image_0004.jpg,207406,"{}",6,2,"{""name"":""point"",""cx"":285,""cy"":320}","{}"
